TCGA-21-5787-01,TCGA-34-2596-01,TCGA-34-5231-01,TCGA-37-4141-01,TCGA-39-5031-01,TCGA-43-A475-01,TCGA-63-5128-01,TCGA-68-A59J-01,TCGA-77-A5G3-01,TCGA-90-A4ED-01,TCGA-98-A53B-01
-1.0934,0.7069,4.0912,1.4723,-0.6692,0.9645,0.6313,-0.5013,-0.1288,2.4686,0.8247
0.1967,-1.8234,3.8417,-1.3893,1.1516,-0.7997,1.0761,-0.204,0.9505,-2.2509,0.6107
0.6182,-0.5049,-2.4703,0.6521,-0.0057,-1.3123,0.1883,-0.2406,0.4121,0.3407,3.2896
-0.6347,-2.1499,-2.1499,-2.1499,-2.1499,-0.4632,-2.1499,-2.1499,-2.1499,-2.1499,-2.1499
-0.2704,-0.2788,1.26,-0.3528,1.2555,1.7683,0.9628,-0.9022,-1.8677,1.6118,-1.8677
-1.0427,-0.064,0.2251,-1.0814,-0.7436,0.332,2.2782,-1.3395,1.6155,2.9262,1.8542
0.3287,0.4974,2.319,0.0887,-0.2546,0.1173,-2.6961,0.3972,-0.4959,-2.6622,-1.2735
-6.4904,-6.4904,-6.4904,-6.4904,-6.4904,-6.4904,-6.4904,-6.4904,-6.4904,-6.4904,-6.4904
-0.6029,-1.5984,2.2233,-0.0997,-0.3454,0.0812,-1.5984,2.8117,-0.2595,0.009,-0.2203
-0.3384,2.1394,-1.0295,0.0692,-1.166,3.0384,-1.9904,0.7805,1.3253,0.2316,-0.1658
-1.7909,0.5474,0.4425,-1.7909,0.3144,-1.7909,-1.7909,1.1971,-1.7909,2.105,-0.3487
-1.5381,3.4522,0.2782,-0.7277,-0.8822,0.5932,-1.5381,-0.1454,0.3712,1.2558,1.151
-0.0858,-0.6175,-1.2564,0.27,-0.1578,-1.279,-0.5086,1.3608,0.0992,-4.3336,0.904
-0.5517,-0.9778,-0.3864,3.1044,0.3693,1.9975,0.7895,0.2605,-1.2733,-1.4291,-0.1652
-0.9011,1.3834,0.4304,1.1897,3.3569,-0.9457,-1.1658,-0.2263,0.1615,-3.3733,-1.2191
-0.6334,-0.1915,-0.914,3.5513,-0.7949,-1.2849,0.6458,0.9375,1.0962,-1.6492,1.8844
0.7367,1.915,-1.411,-0.341,0.855,0.2279,2.8925,1.6338,1.0805,-1.36,0.653
2.6885,1.3441,0.5429,-1.4512,-0.4931,-0.2491,0.5062,-1.857,-0.0936,-2.5656,1.0514
-0.6509,0.9744,3.5419,1.3181,0.0035,0.5855,0.7092,-0.4092,0.335,1.9074,3.5362
-1.5525,1.1179,2.676,1.6916,-0.3513,1.0061,1.7811,1.8896,0.5569,2.462,1.2096
-0.703,-1.7617,-1.0279,-1.7617,-1.7617,-1.7617,-1.7617,-1.7617,-0.5543,-1.7617,-1.7617
-0.2773,2.7846,1.3586,1.6037,-0.9632,-1.7285,1.334,0.186,-0.1194,0.0736,1.1791
1.3094,-2.0124,-0.926,0.1269,0.5662,-2.2326,-1.5513,0.6507,0.8082,-3.2584,0.2774
-1.1799,-1.5713,1.9994,-1.2023,0.5971,2.7537,-1.0223,0.7816,0.2939,-1.5713,1.2554
-0.8264,-1.2567,1.4023,0.4771,2.1797,-1.5128,-2.3121,-0.8273,0.627,-1.9965,1.5047
-0.251,-1.8434,-0.1534,2.3445,0.7662,1.0328,-2.0574,-0.0013,-2.2406,-0.4986,0.8674
0.0719,-0.4019,1.5833,-0.4037,1.8616,1.4177,-0.957,-1.1035,0.604,-3.8583,-1.1393
0.5114,1.2937,-0.747,2.0007,-0.699,-1.7053,0.8727,-2.3374,-0.9245,-2.3698,0.0279
-1.7096,0.2887,-1.1239,-0.9131,-0.1616,2.7335,-1.7096,1.2398,-1.7096,-1.7096,-1.7096
4.5637,1.4128,1.5395,-0.6845,-0.3959,1.0998,1.0748,-0.7363,0.8414,-0.5814,0.7169
-0.2054,-1.3665,-1.5345,-1.2523,1.0949,-1.5345,2.448,1.5724,-0.39,2.1692,-1.5345
-1.6459,1.9303,-0.7088,-1.5742,0.6103,0.9602,1.6236,1.082,-0.6155,2.7142,-1.2874
1.281,0.2803,-1.9007,-1.3491,-0.2087,-1.4284,2.2652,0.9444,0.0764,1.6272,0.8694
-1.2569,-0.7467,-0.7482,-0.99,1.8951,-0.564,-0.8465,-0.278,3.4358,3.2963,-1.2569
1.0781,0.3438,0.249,-0.6501,-1.3578,0.1997,0.6417,5.3305,0.0601,1.7547,-0.2411
1.5805,2.2322,1.7338,-0.4429,0.1396,1.2498,1.4597,1.5277,2.6296,0.5604,-0.0083
0.6742,0.6349,1.269,-1.1225,1.059,-1.1107,3.9156,-0.936,0.0635,-1.1344,-0.9966
-12.9524,-12.9524,-12.9524,-12.9524,-12.9524,-12.9524,-12.9524,-12.9524,-12.9524,-12.9524,-12.9524
0.7562,-2.1441,0.0798,-2.1441,0.2751,-0.1567,-2.1441,-2.1441,0.2624,-0.1695,0.2645
-0.4744,0.4788,0.1375,-3.7182,-0.5001,0.5245,2.9697,-0.1313,-0.3085,0.3546,-0.0259
1.2697,0.1695,-3.5908,-0.3431,0.0245,-1.3887,-0.4548,-0.554,-0.7608,1.4921,-1.0427
1.1648,1.024,0.8087,2.4526,0.0962,-2.4753,-1.2968,0.9944,0.7737,-1.2743,-1.4669
0.8216,3.0174,0.2123,2.6848,1.042,-1.2607,-1.705,0.4805,0.6856,-1.1409,-1.705
-1.0218,-0.6516,0.9829,-1.0501,-0.9996,-1.514,-1.514,-0.99,2.4242,-0.303,1.1698
-12.1626,-12.1626,-12.1626,-12.1626,-12.1626,-12.1626,-12.1626,-12.1626,-12.1626,-12.1626,-12.1626
-1.7439,0.1101,0.45,2.9765,0.3624,0.552,3.853,-0.1141,0.4232,0.8112,0.8306
-1.1178,-1.1209,0.3169,2.2534,0.3902,0.4797,3.8063,-1.0834,-0.5974,0.3881,0.0976
-1.2517,-0.4439,-0.8098,1.4892,0.1948,-0.6965,4.3615,0.2223,0.0481,0.7326,0.6317
1.3027,0.5985,-0.1742,0.9211,-1.6567,-1.6567,-1.6567,0.425,-1.4655,-1.6567,-1.6567
-2.3282,-2.3282,-2.3282,-0.9407,-0.7899,-0.6896,-2.3282,-2.3282,-0.6494,-2.3282,-2.3282
0.3429,0.4896,-0.4139,3.3036,-0.2586,1.4948,-1.117,2.1251,-0.5154,0.392,0.5431
0.0399,0.6569,-0.6389,1.4465,0.1954,-1.9533,-0.1245,-0.5043,0.1512,3.5851,0.7759
-1.6336,-0.5506,-1.1997,-0.2661,-1.6336,-1.6336,-0.7861,-0.4869,1.9027,-0.6747,2.9806
-3.509,-3.509,-3.509,-3.509,-3.509,-3.509,-3.509,-3.509,-3.509,-3.509,-3.509
-5.6069,-5.6069,-5.6069,-5.6069,-5.6069,-5.6069,-5.6069,-5.6069,-5.6069,-5.6069,-5.6069
-3.9083,-3.9083,-3.9083,-3.9083,-3.9083,-3.9083,-3.9083,-3.9083,-3.9083,-3.9083,-3.9083
-7.3352,-7.3352,-7.3352,-7.3352,-7.3352,-7.3352,-7.3352,-7.3352,-7.3352,-7.3352,-7.3352
-1.2273,0.9352,-0.7734,3.7397,2.0101,0.304,2.7832,0.3627,1.6411,1.3282,-0.9162
-0.1812,0.4969,4.4019,-0.4451,0.2944,-1.2002,-0.4969,-1.0123,0.9389,2.259,-0.4506
-1.0578,0.0703,0.7261,0.2233,-0.0641,0.7102,-4.8295,0.4847,1.7997,-2.0231,-0.3584
-1.332,1.2489,-3.0042,2.5137,0.7047,1.2398,-0.0941,0.0357,-0.107,1.911,0.8068
-2.5577,0.3359,-2.5577,-0.791,-2.5577,-2.5577,-0.2401,-2.5577,-2.5577,-2.5577,-2.5577
1.9954,0.1618,-0.8924,-0.1712,-1.18,2.7567,0.6797,0.3179,-0.9052,-0.7259,-1.2607
-0.794,-1.1198,-0.894,-1.1198,-1.1198,-1.1198,-0.6627,-1.1198,-1.1198,-1.1198,-1.1198
1.4038,-0.0399,-0.7587,1.4299,0.2738,-0.1539,-1.1783,1.1627,-0.8233,2.4841,2.964
1.304,0.8987,0.061,-1.1651,0.8133,-1.4344,2.8324,2.2899,0.0948,1.4925,0.1335
1.3409,-0.6834,0.1948,1.3378,1.943,-1.7118,1.8826,1.6717,0.686,-1.3055,0.8267
0.9665,1.5767,2.1801,-1.3466,-0.0374,-0.0094,2.8073,0.0501,0.9078,2.2483,-1.6771
-2.5393,-0.4113,-1.7124,3.4374,0.8095,1.0224,0.1494,0.7875,0.3435,1.3806,0.8035
-0.0653,-1.0522,1.3989,0.1285,1.9571,-2.1098,1.5296,0.741,-0.1062,2.9709,-0.3715
-1.2346,3.2156,1.8319,-1.2766,-1.0934,1.8427,0.8513,-0.3431,0.3595,0.4429,-0.3905
1.0404,0.4056,-0.4374,-0.2693,-0.8518,-0.4475,2.2364,-1.9084,0.6372,2.5155,-1.5649
0.0963,2.2641,-0.5781,-0.2857,1.7407,-1.0261,0.2115,0.6938,0.6453,3.139,2.0958
0.0964,0.5479,-0.5647,-2.5753,0.5275,0.5172,1.094,1.6316,2.8051,1.2806,-0.743
-2.0918,0.317,-0.1754,-1.2173,0.4544,3.2008,-1.2142,3.133,0.7004,0.4981,0.3012
-2.8799,1.0716,-2.7692,1.0466,-0.7074,0.6982,0.4437,-0.9579,-0.3123,1.2326,0.4797
1.4924,-1.6272,1.6272,0.2699,-1.5337,-2.4199,2.0288,-0.4906,0.3607,-0.5969,1.2103
0.4458,1.6835,-1.1252,1.3163,-0.9686,-1.9222,0.1425,-0.4176,-0.2013,-0.5562,-3.0613
0.3767,-0.7408,-0.8377,-1.29,0.4483,0.8184,1.223,0.829,2.0083,-2.8903,1.3565
-1.0392,1.3647,-1.5523,-0.86,-0.6261,0.1353,1.1826,-0.0281,-0.4684,-0.5224,-3.0788
1.903,-1.8116,0.9937,-1.5916,0.9687,-0.6902,1.9167,1.5697,0.0999,-0.7721,-1.3469
0.3996,0.9683,-1.3474,-0.6374,1.9473,-0.0433,1.1746,-1.5224,1.6805,-0.3614,-1.5391
-2.0522,-2.0522,-0.1941,-0.1114,0.0603,-2.0522,-0.8494,-2.0522,0.2163,0.0576,-2.0522
-1.8486,-0.909,-1.1935,3.092,-1.8486,-0.7965,0.3966,-0.0882,-1.8486,1.7778,1.2605
-1.7943,-1.7943,-1.7943,-1.7943,-1.7943,-1.7943,-1.7943,0.9105,-1.7943,-1.7943,-0.5127
-2.6319,0.8123,-0.4819,-1.3276,0.4289,-0.4165,0.6407,-2.1294,-0.115,0.9723,2.0505
-1.6817,2.332,-0.8069,1.4401,-0.9579,0.1148,1.251,0.4195,-1.6817,2.5674,-0.2625
-2.0061,1.5854,-0.1188,1.181,0.6698,2.0013,2.0481,-1.044,0.9444,1.9248,0.3385
0.682,-0.0314,1.3665,-3.625,0.0452,2.0932,-0.0184,1.0649,-0.5487,-0.3634,0.1641
3.9633,-1.5101,-0.221,-1.6813,0.8501,-0.7566,-0.4708,0.2374,1.051,-0.568,0.7474
0.9823,0.8694,0.5153,2.7575,1.0399,1.2044,-0.5834,-1.2486,1.441,2.4597,-1.3435
-1.6412,0.4646,-0.0341,-0.619,1.2478,-1.3788,-3.0513,0.8218,2.0157,0.4959,0.1613
-1.7,0.6589,-0.3109,-1.4736,1.3763,0.4132,1.8344,1.1866,-1.7,-1.7,-1.7
-0.3625,0.5945,0.4185,3.8701,1.1482,0.7396,0.6228,-0.2574,1.6671,1.1373,-1.2424
-0.9132,0.8578,-0.177,-0.6631,-1.5874,0.6425,-0.609,2.7565,-1.0033,-1.4358,2.2671
