Entrez_Gene_Id,TCGA-D3-A1Q5-06,TCGA-D3-A1Q6-06,TCGA-D3-A1Q7-06,TCGA-D3-A1Q9-06,TCGA-D3-A1QA-06,TCGA-D3-A2JN-06,TCGA-D3-A2JP-06,TCGA-D3-A3CB-06,TCGA-D3-A3CE-06,TCGA-D3-A3MR-06,TCGA-D3-A51T-06,TCGA-D3-A8GB-06,TCGA-D3-A8GM-06,TCGA-D9-A148-06,TCGA-DA-A1HW-06,TCGA-DA-A1I4-06,TCGA-DA-A1IB-06,TCGA-DA-A3F5-06,TCGA-EE-A20F-06,TCGA-EE-A29C-06,TCGA-EE-A29H-06,TCGA-EE-A29T-06,TCGA-EE-A29W-06,TCGA-EE-A2GS-06,TCGA-EE-A2M5-06,TCGA-EE-A2M8-06,TCGA-EE-A2MP-06,TCGA-EE-A3AB-06,TCGA-EE-A3AD-06,TCGA-EE-A3AF-06,TCGA-EE-A3AG-06,TCGA-ER-A198-06,TCGA-ER-A19E-06,TCGA-ER-A19G-06,TCGA-ER-A19H-06,TCGA-ER-A19J-06,TCGA-ER-A19M-06,TCGA-ER-A19O-06,TCGA-ER-A19Q-06,TCGA-ER-A2NG-06,TCGA-FR-A44A-06,TCGA-FR-A729-06,TCGA-FW-A3TV-06,TCGA-GF-A4EO-06,TCGA-GF-A6C9-06,TCGA-GN-A26A-06,TCGA-GN-A4U7-06,TCGA-GN-A4U8-06,TCGA-GN-A9SD-06,TCGA-W3-AA1O-06,TCGA-W3-AA1Q-06,TCGA-WE-A8K5-06,TCGA-WE-A8K6-06,TCGA-WE-A8ZQ-06,TCGA-WE-AAA4-06,TCGA-YG-AA3O-06
22.0,1.2337,0.4333,0.0495,-0.2334,1.0848,-1.196,-0.1572,0.6369,1.6521,-1.0278,0.7399,-0.4618,0.3571,0.7197,0.7309,1.0996,0.2041,-0.1528,0.2967,-0.3738,0.3682,1.8516,1.1827,1.8917,0.4039,0.0034,0.8898,-0.3556,0.6694,1.6965,-0.3167,0.1122,0.0871,-0.1355,-0.1592,-0.3253,-0.1108,-2.0051,0.023,-0.035,0.1532,0.0266,0.3297,0.0569,1.1883,0.4521,-0.1303,-0.2434,1.246,1.1398,2.0191,0.7039,0.1918,1.4069,-2.1939,0.0323
23457.0,-2.1437,1.1716,-0.1825,0.808,0.2983,1.5699,-0.4153,0.3471,-1.1367,0.7312,0.3331,0.5792,0.4996,0.2775,0.4038,0.1133,-0.1238,3.2822,0.6343,1.3212,0.8299,1.763,-0.6375,-0.7148,-0.3122,-1.129,-0.8564,2.7803,0.155,1.0544,0.3246,-0.1225,-1.3559,-0.3382,-0.5242,0.5009,-1.2025,-0.2238,0.1698,0.2296,-0.6802,-0.6796,1.6142,-1.0154,0.0746,2.151,1.1305,-1.1653,-0.0953,0.1626,-0.5374,-0.7107,1.3319,-1.3801,1.1208,-0.4644
89845.0,-1.1566,-0.7866,0.2434,-0.469,0.7438,-1.9128,-2.3924,-0.6497,-1.2241,0.1182,0.9415,0.4062,-1.5102,0.1513,0.6799,-1.3313,0.4869,-1.5484,-1.0834,1.0728,-0.7824,-2.2584,-1.4211,0.2284,-0.096,-0.8039,0.2144,-1.3815,0.9055,1.0146,-0.734,-0.8749,1.8518,-0.3626,-0.0765,0.4831,-0.9607,1.6155,-0.5837,-0.2922,-0.1859,0.0893,-0.443,-0.097,-0.3625,0.2602,0.2689,-0.5609,-1.2345,-0.1672,0.5089,-0.6268,-0.1088,-0.6475,0.5897,1.643
1244.0,-0.9828,-1.9562,-0.8049,-1.3915,1.1989,-1.0041,0.2849,-0.4277,-0.6112,-0.8279,0.5148,0.5453,0.8476,0.6051,0.8278,0.7973,0.3175,-1.5618,0.6075,0.612,1.143,-1.0002,-0.8761,-0.5907,-1.4119,-0.2776,0.2493,0.0226,-0.9306,1.0576,-0.1519,1.4493,-1.3559,-1.3939,1.057,1.0704,-0.0665,0.8447,1.1641,-0.3319,0.284,0.4541,1.2409,-1.108,-1.3251,-1.2519,0.4059,-1.5557,0.4001,0.2811,0.904,0.4947,-1.6001,-0.6484,0.2217,0.5367
8714.0,-0.2312,1.491,0.0473,-0.2284,-0.9475,1.6297,-0.1515,1.7256,-0.9746,0.9422,0.0532,0.8802,0.203,-0.1242,0.6602,1.1237,2.0774,0.7837,-0.0653,-0.0886,0.1411,0.6062,-0.7491,-1.7071,-2.1801,0.9047,0.327,0.8669,-1.1481,0.471,0.0756,-0.1491,-0.0388,-0.2086,-0.8761,0.0238,0.3668,2.0691,1.1699,0.967,1.2196,0.9777,0.38,1.0411,2.2457,1.5311,-1.2044,0.4625,1.3686,-0.6392,-0.7601,-0.5739,-0.0872,-0.8209,1.0676,-0.078
10257.0,1.876,0.6998,-0.0154,0.1608,0.3053,1.0377,0.4411,1.2183,0.7491,-1.1375,-0.2852,-0.274,0.6474,0.3457,-0.192,0.095,0.2865,0.7132,0.8521,1.1233,-1.5109,0.3556,0.946,-0.2992,1.3382,0.6592,0.5924,0.693,0.0656,0.3923,1.2445,-2.0728,-0.226,-1.6719,0.5555,0.0969,0.7828,-0.1423,-0.5268,0.3375,0.3351,0.7428,1.404,0.1092,0.4904,0.154,-1.2895,-1.3983,-0.6046,1.0221,-0.5314,-1.5887,0.2657,-0.4189,-0.8193,0.5942
368.0,2.8322,-0.5896,0.4991,-0.1087,-1.3228,1.3384,-0.2517,-0.0478,-1.2142,-0.385,-1.1136,1.2155,-0.9877,-0.5709,-0.7104,-0.5568,0.2842,-0.1939,-0.1516,0.456,-1.5752,-0.2265,-0.1462,-0.4135,-1.2353,-0.7173,0.3248,1.6057,0.3254,-0.3555,1.2641,-0.8795,0.1542,-0.5543,0.3099,-0.7465,-0.0042,0.6216,-1.0227,-0.4271,0.0368,0.0838,-0.7387,-0.4717,0.0471,0.3225,0.8688,0.1621,0.3582,1.6445,-1.5752,-1.2023,0.6577,0.5894,-0.4648,-0.7799
653190.0,2.6388,-0.0742,-0.6852,-1.0746,-1.0746,0.6989,-0.5948,-1.0746,-1.0746,-1.0746,-1.0746,-0.3919,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-0.6428,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-0.6618,-1.0746,-0.6885,-1.0746,2.2862,-1.0746,-0.4208,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-0.5443,-1.0746,-1.0746,-0.0862,-1.0746,-0.4467,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,-1.0746,0.7083,-1.0746,-1.0746
6833.0,1.1329,-1.0192,0.0942,-1.0192,-1.0192,0.203,-0.1788,1.375,-0.7239,-1.0192,-0.374,0.0745,-1.0192,-1.0192,-0.786,-1.0192,-0.6677,-0.4777,-1.0192,-1.0192,-1.0192,-0.3863,2.9935,-0.5863,-1.0192,-1.0192,1.225,-1.0192,-0.7689,-1.0192,-0.7851,-1.0192,-1.0192,-1.0192,-1.0192,-1.0192,-1.0192,-1.0192,-1.0192,-1.0192,-0.7659,-0.2698,-0.1199,-1.0192,-0.42,-1.0192,-0.6385,-1.0192,-0.1205,-1.0192,-0.6175,-1.0192,-0.4342,-0.4325,-1.0192,-1.0192
10060.0,1.3888,-0.84,2.0462,0.701,-0.1932,1.0485,-0.1125,0.3033,2.4449,0.6931,-1.0754,0.9519,0.145,0.0182,1.0084,0.8012,-0.1544,-0.4293,0.3989,1.3624,0.1931,-0.8743,1.0395,1.1975,3.721,0.7707,0.0602,1.1165,0.0727,-0.8183,-0.325,0.2287,1.1259,0.6496,2.0357,0.8141,0.3834,-0.5545,0.3977,-0.8272,-0.7514,0.6211,-0.5107,1.5497,-0.5075,0.291,-0.8526,-1.2099,0.6925,0.3561,-1.1486,-0.1904,-1.2856,2.0032,-1.2966,0.1671
