Entrez_Gene_Id,Entrez_Gene_Id,Entrez_Gene_Id,TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
128,128,128,-1.8654,-0.03,-0.2966,-0.8443,-0.8287
130,130,130,0.2834,-1.7017,-0.9325,-1.5953,-1.4427
131,131,131,,,-1.4627,,
137872,137872,137872,0.1222,0.524,0.3324,-0.1007,-0.7164
55256,55256,55256,-1.3349,-0.0914,0.4343,-2.205,-1.5381
149685,149685,149685,,,-3.8537,,
9370,9370,9370,,,-1.0184,,
51094,51094,51094,1.4276,0.0652,-0.5568,0.7397,-1.3488
79602,79602,79602,-1.1189,0.4555,-1.768,0.4949,-0.3787
132,132,132,0.0449,-0.5355,-0.9778,-2.1654,-1.016
133,133,133,0.3286,1.0905,0.4783,0.5792,1.078
79924,79924,79924,0.0435,2.6365,0.4264,1.4855,-0.5253
22850,22850,22850,0.2974,1.2745,0.1419,1.3228,3.4862
23394,23394,23394,0.1932,-2.1367,-0.8241,-1.6467,-0.2309
84890,84890,84890,0.1035,-0.2277,-0.1672,0.6904,1.5108
134,134,134,0.1492,1.0234,0.4775,-0.5609,0.298
135,135,135,-0.5489,1.932,1.6001,1.9893,0.5261
136,136,136,0.0326,1.0116,0.4139,-0.26,0.0254
140,140,140,-0.5822,1.5013,1.3977,0.6053,1.5252
83440,83440,83440,0.9558,0.0761,0.7733,0.7771,0.7587
141,141,141,-1.1514,0.3023,1.5145,0.2191,0.2753
113622,113622,113622,-0.237,-2.048,-1.4683,1.0924,-1.0751
54936,54936,54936,-0.9985,1.0764,1.5089,1.9523,3.1507
148,148,148,-0.5006,-0.4427,-0.7257,-0.9033,-1.5464
147,147,147,0.1238,0.6658,-0.0939,0.2819,-1.1118
146,146,146,-1.1022,0.3728,-0.6001,-0.4994,-0.684
150,150,150,1.0675,0.0955,-0.7368,-0.2627,-1.0917
151,151,151,-0.1427,0.9159,0.7695,1.601,1.1819
152,152,152,-0.3324,0.9575,-1.1154,0.6041,0.8791
153,153,153,1.6231,1.1859,3.1562,1.1458,0.2905
154,154,154,-0.4827,0.751,0.4453,1.0921,0.1584
155,155,155,,,0.8866,,
156,156,156,-0.8922,1.0131,-0.549,-0.8643,-0.5132
157,157,157,1.1377,-1.4542,0.9245,0.3989,-0.5899
11047,11047,11047,-1.5053,1.1686,-0.3951,-0.323,-0.5735
158,158,158,-1.2865,1.3458,-0.019,-1.2255,-0.4941
159,159,159,1.8298,-1.6777,0.477,-1.4805,0.3746
122622,122622,122622,0.4206,0.7849,-0.8984,1.4981,0.4391
165,165,165,-1.2268,1.6765,1.0675,0.292,0.2336
121536,121536,121536,1.3189,0.3699,-0.4193,0.0613,1.5964
64782,64782,64782,0.2157,2.1934,0.1075,0.867,0.7624
166,166,166,-1.6436,1.826,-0.0723,1.7387,-0.0791
60312,60312,60312,-1.6241,1.7245,-0.2333,-0.3468,-0.4375
134265,134265,134265,-0.2591,0.0528,1.3517,-1.082,-1.035
84632,84632,84632,1.3778,-0.168,0.0009,1.8215,0.7834
246182,246182,246182,0.8643,0.2121,-0.0903,-2.105,-0.3342
4299,4299,4299,1.4312,-1.3382,0.5219,0.5845,0.5854
2334,2334,2334,0.7161,0.3028,2.0211,-0.3225,-1.5059
3899,3899,3899,-0.1917,2.3499,0.8749,-0.5138,-0.5869
27125,27125,27125,1.7403,-0.8384,0.0271,-0.1352,0.2578
172,172,172,0.3545,1.5298,0.4161,-0.0422,-0.547
10939,10939,10939,0.839,-0.866,-0.1552,2.2033,1.7597
173,173,173,,,-1.0481,,
125061,125061,125061,-0.6132,-0.3412,-0.501,-1.8119,-0.8816
174,174,174,-1.2909,-0.3112,-1.2909,-0.6067,-1.2909
54812,54812,54812,0.721,-3.272,-0.6187,-0.2432,-0.3781
387763,387763,387763,-1.0491,2.236,-0.0763,0.7633,-0.1937
175,175,175,-1.0641,-1.0664,-0.7462,0.5974,-1.6274
119385,119385,119385,0.9166,1.2905,-1.6223,1.9764,-0.2021
116987,116987,116987,-2.3451,0.1376,-0.2163,-0.5299,-0.5553
