TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
1.2044,0.8091,1.3544,0.4071,-2.7834
-0.6048,2.1817,1.2426,-0.8408,-2.0778
-1.5891,-1.0801,0.2014,0.8181,-5.1306
-2.1598,-2.1598,-2.1598,-2.1598,-2.1598
1.6625,2.9694,1.4022,2.3817,1.1284
-2.1884,-0.6275,1.8723,0.8772,1.7234
-0.9894,1.5161,0.9538,-3.9087,1.2442
-0.6717,-1.8458,1.7301,2.3801,0.302
-1.7517,1.0757,2.623,-0.9185,-1.7517
-0.3619,-1.3985,-3.3151,-2.4508,-1.5986
0.2204,0.6005,0.9501,3.308,-1.9996
0.5159,-1.7627,-1.7627,2.5719,-1.543
0.8905,-2.5343,2.2085,1.3847,-1.7856
-0.1888,2.1888,-1.6783,-0.8629,-1.6783
0.1265,-0.5702,-3.8198,-1.8266,-3.8664
-0.01,-1.3507,-2.8285,-2.0348,0.062
0.9294,-0.7576,-3.9326,-3.0611,-2.0626
-0.1699,-2.7639,-1.9944,-2.2874,-0.1195
0.8297,-0.9269,-3.1027,-3.8525,-3.0625
-0.1018,-3.3686,-1.6228,0.9956,1.8502
2.2685,0.5616,-0.8104,3.0408,-0.7464
1.6345,3.1838,2.3501,0.8023,0.9577
-0.6559,1.5815,0.6436,3.265,-1.3405
-1.5294,2.0761,1.293,-1.5294,-1.5294
-0.8862,-2.8646,-0.4617,-1.4863,-3.6519
2.7084,1.1061,1.0039,-1.8796,-0.8676
-1.527,0.1907,-2.9315,-0.7627,-0.2538
1.0315,2.0389,-0.9636,-1.6457,0.8797
1.6719,-1.6152,3.3314,-0.5328,-1.5425
-0.3424,2.3329,-1.1623,2.7276,-0.3424
-1.8787,0.5965,1.8255,2.2328,1.2917
0.9189,-0.2254,-2.6886,-1.8937,0.4736
-0.7839,2.1577,-1.3159,2.8209,1.6877
1.6052,-0.2739,-0.6976,-2.7149,-0.5198
0.1354,-1.6388,-3.3649,0.5054,-3.3649
1.6493,-1.3021,2.3136,1.5949,1.8313
0.0559,2.9417,-0.3992,4.4058,0.2794
-0.8998,2.8255,0.4315,-0.2312,2.3303
-1.0287,-0.3032,-1.3842,-1.7299,2.1272
-0.3809,-2.5431,0.163,-2.5291,-2.6745
0.3188,-2.3941,-3.0424,-1.2417,0.7063
-2.6245,-0.1703,0.509,1.723,-1.5871
1.6244,2.1371,2.2526,-1.019,0.7004
